Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
rafaela araujo  ;Camisa EXGG;;4;77,00;308;0;27,44;0;280,56;128;152,56
rafaela araujo  ;Camisa Peruana;;23;88,00;2024;0;177,98;0;1846,02;851;995,02
rafaela araujo  ;Camisa Polo;;38;77,00;2926;0;271,34;0;2654,66;1330;1.324,66
rafaela araujo  ;Camisa Premium;;139;55,00;7645;0;682,64;0;6962,36;3475;3.487,36
rafaela araujo  ;Camisa Stret;;101;60,00;6060;0;449,23;0;5610,77;2525;3.085,77
rafaela araujo  ;Camisa Surf;;21;38,00;798;0;53,86;0;744,14;336;408,14
rafaela araujo  ;Camisa Uv;;1;55,00;55;0;6,56;0;48,44;27;21,44
rafaela araujo  ;Carteira Grif;;4;44,00;176;0;10,21;0;165,79;68;97,79
rafaela araujo  ;Carteira Simples;;6;33,00;198;0;19,31;0;178,69;90;88,69
rafaela araujo  ;cinto;;3;22,00;66;0;6,8;0;59,2;30;29,2
rafaela araujo  ;cinto grife;;8;33,00;264;0;13,47;0;250,53;120;130,53
rafaela araujo  ;Copo Stanley;;1;44,00;44;0;5,84;0;38,16;20;18,16
rafaela araujo  ;Corrente  De Prata 3,5 MM;;4;176,00;704;0;63;0;641;320;321
rafaela araujo  ;corrente 80;;2;220,00;440;0;20;0;420;0;-
rafaela araujo  ;Corrente De Moeda 100;;5;110,00;550;0;51,31;0;498,69;225;273,69
rafaela araujo  ;Corrente De Prata 1,5 MM;;2;77,00;154;0;14;0;140;60;80
rafaela araujo  ;Corrente De Prata 2 MM;;8;110,00;880;0;55,65;0;824,35;368;456,35
rafaela araujo  ;Corrente De Prata 4 MM;;4;230,00;920;0;58,13;0;861,87;440;421,87
rafaela araujo  ;Corrente De Prata 5 MM;;1;360,00;360;0;30,36;0;329,64;165;164,64
rafaela araujo  ;corrente fina moeda;;2;77,00;154;0;7;0;147;0;-
rafaela araujo  ;Corrente Friso S;;6;200,00;1200;0;84,7;0;1115,3;540;575,3
rafaela araujo  ;Corrente Moeda 70;;7;77,00;539;0;68,2;0;470,8;245;225,8
rafaela araujo  ;Corta Vento;;2;130,00;260;0;20,4;0;239,6;116;123,6
rafaela araujo  ;Cueca Chinesa;;6;20,00;120;0;12,73;0;107,27;60;47,27
rafaela araujo  ;Cueca Simples;;72;12,00;864;0;92,1;0;771,9;288;483,9
rafaela araujo  ;Cuecas Algodão;;23;20,43;470;0;53,09;0;416,91;184;232,91
rafaela araujo  ;Cuia;;5;20,00;100;0;9,09;0;90,91;50;40,91
rafaela araujo  ;Dechavador;;4;5,00;20;0;0,6;0;19,4;8;11,4
rafaela araujo  ;Diferença De Troca;;11;50,00;550;0;244,68;0;305,32;0;-
rafaela araujo  ;Dri-fit Recortada;;5;55,00;275;0;22,9;0;252,1;0;-
rafaela araujo  ;Elo Baiano;;3;100,00;300;0;25,53;0;274,47;0;-
rafaela araujo  ;enchimento;;2;2,00;4;0;0;0;4;0;-
rafaela araujo  ;Gas Completar;;1;2,00;2;0;0;0;2;0;-
rafaela araujo  ;Jeans Cordão;;3;70,00;210;0;0,73;0;209,27;0;-
rafaela araujo  ;jeans original branca;;1;110,00;110;0;10;0;100;50;50
rafaela araujo  ;Kenner  Rakka Full Force;;6;150,00;900;0;37,64;0;862,36;420;442,36
rafaela araujo  ;Kenner Diamante;;9;150,00;1350;0;51,83;0;1298,17;630;668,17
rafaela araujo  ;kenner kivah;;34;128,53;4370;0;342,86;0;4027,14;1870;2.157,14
rafaela araujo  ;Kenner Kivah;;5;150,00;750;0;30;0;720;325;395
rafaela araujo  ;kenner rakkab branca;;8;170,00;1360;0;10;0;1350;0;-
rafaela araujo  ;Kit Cueca;;2;77,00;154;0;14;0;140;0;-
rafaela araujo  ;Lego;;2;20,00;40;0;5,94;0;34,06;20;14,06
rafaela araujo  ;Lente Transparente;;3;100,00;300;0;30,26;0;269,74;135;134,74
rafaela araujo  ;Lente Transparente Mola;;1;120,00;120;0;15,51;0;104,49;50;54,49
rafaela araujo  ;Maçarico;;2;20,00;40;0;1,15;0;38,85;21;17,85
rafaela araujo  ;meia;;2;12,00;24;0;1,86;0;22,14;0;-
rafaela araujo  ;mel do amor;;4;25,00;100;0;20;0;80;0;-
rafaela araujo  ;Melzinho;;2;20,00;40;0;0;0;40;18;22
rafaela araujo  ;Mochila Nike;;1;110,00;110;0;8,37;0;101,63;50;51,63
rafaela araujo  ;Necessaire;;1;77,00;77;0;7;0;70;35;35
rafaela araujo  ;Oculos De Sol;;1;33,00;33;0;3;0;30;15;15
rafaela araujo  ;Oculos Juliett;;5;132,00;660;0;59,78;0;600,22;300;300,22
rafaela araujo  ;Oculos Oakley;;9;50,00;450;0;58,55;0;391,45;153;238,45
rafaela araujo  ;Oculos Vilão;;2;66,00;132;0;11;0;121;60;61
rafaela araujo  ;Papel De Presente;;7;2,00;14;0;0,68;0;13,32;3,5;9,82
rafaela araujo  ;Perfume Base De Oleo;;13;38,00;494;0;43,39;0;450,61;169;281,61
rafaela araujo  ;Perfume Similar;;6;28,67;172;0;10,54;0;161,46;72;89,46
rafaela araujo  ;Pingente De Moeda Antiga  G;;7;77,00;539;0;33,93;0;505,07;245;260,07
rafaela araujo  ;Pingente De Prata;;6;55,00;330;0;30,92;0;299,08;138;161,08
rafaela araujo  ;Pingente moeda 60;;1;60,00;60;0;3,75;0;56,25;30;26,25
rafaela araujo  ;Pingente Moeda Antiga  P;;1;55,00;55;0;5,27;0;49,73;25;24,73
rafaela araujo  ;Pingente Pedraria;;4;90,00;360;0;40,9;0;319,1;0;-
rafaela araujo  ;Piteira Curta;;5;3,00;15;0;1,28;0;13,72;7,5;6,22
rafaela araujo  ;Piteira larga;;1;5,00;5;0;0,29;0;4,71;2,5;2,21
rafaela araujo  ;Pochete;;2;55,00;110;0;9,1;0;100,9;46;54,9
rafaela araujo  ;Polo Chronic;;6;110,00;660;0;60,53;0;599,47;270;329,47
rafaela araujo  ;Polo Gucci;;17;55,00;935;0;59;0;876;391;485
rafaela araujo  ;Polo Peruana;;8;110,00;880;0;56,75;0;823,25;440;383,25
rafaela araujo  ;Pulseira  De Prata 5 MM;;2;110,00;220;0;19,74;0;200,26;96;104,26
rafaela araujo  ;Pulseira De Moeda 50;;1;77,00;77;0;10,55;0;66,45;32;34,45
rafaela araujo  ;Pulseira De Prata 2MM;;7;66,00;462;0;31,02;0;430,98;196;234,98
rafaela araujo  ;Pulseira Moeda 70;;4;55,00;220;0;19,04;0;200,96;100;100,96
rafaela araujo  ;reagata premium;;1;55,00;55;0;4,42;0;50,58;0;-
rafaela araujo  ;Regata;;13;44,00;572;0;54,58;0;517,42;0;-
rafaela araujo  ;Regata  Premium;;5;55,00;275;0;39,3;0;235,7;110;125,7
rafaela araujo  ;Regata Americana;;33;55,00;1815;0;207,87;0;1607,13;792;815,13
rafaela araujo  ;regata basquete;;1;50,00;50;0;4,76;0;45,24;22;23,24
rafaela araujo  ;Regata Dri-fit;;1;44,00;44;0;3,35;0;40,65;20;20,65
rafaela araujo  ;regata premium;;2;55,00;110;0;0;0;110;0;-
rafaela araujo  ;Relogio Atlantis;;6;143,00;858;0;39;0;819;330;489
rafaela araujo  ;relogio atlantis femenino;;2;132,00;264;0;16,1;0;247,9;0;-
rafaela araujo  ;Relogio Bvlgari;;2;200,00;400;0;42,89;0;357,11;140;217,11
rafaela araujo  ;Relogio G-Shock;;3;88,00;264;0;24;0;240;120;120
